project,title,category,program,country,city,street,number,canton/region,zip-code,GPS,year,project_number,cad_num,client,building costs,deepness,phase,subphase,sea_elevation
019_piazzafontana.milano,piazzafontana.milano,urban planning,museum,Italy,Milan,Piazza Fontana,,Lombardy,20122,"45.46349108941711, 9.194238858394938",2004,19,,,,1(3),2,diploma,
020_ostiense.roma,ostiense.roma,activity,azione in difesa dell'uomo,Italy,Rome,Via Ostiense,,Lazio,00154,"41.87554291478374, 12.480746464748071",2005,20,,,,1(2),2,workshop,
021_hönggerbergring.zürich,hönggerbergring.zürich,urban planning,institute,Switzerland,Zurich,Hönggerbergring,,Zurich,8049,"47.40765573837828, 8.509126692496446",2007,21,,,,1(2),2,competition,
022_epd.modul,epd.modul,installation,pavilion,,,,,,,"45.4721443873063, 9.17723820306027",2007,22,,,,2,2,free project,
023_viaperincarino.novamilanese,viaperincarino.novamilanese,urban planning,swimming hall,Italy,Nova Milanese,Via Perincarino,,Lombardy,20834,"45.58243480366892, 9.197636477481032",2007,23,,,,1(2),2,competition,
024_elsässerstrasse.basel,elsässerstrasse.basel,urban planning,pavilion,Switzerland,Basel,Elsässerstrasse,,Basel-Stadt,4056,"47.56797540818611, 7.58130274497909",2007,24,,,,1(3),2,competition,
025_dacasavallumnezia.vella,dacasavallumnezia.vella,urban planning,retirement home,Switzerland,Vella,,,Grisons,7144,"46.71652264962144, 9.172222671704787",2008,25,,,,1(3),2,competition,
026_münsterhof.zürich,münsterhof.zürich,transformation,housing,Switzerland,Zurich,Münsterhof,,Zurich,8001,"47.37017581884411, 8.540526825804076",2008,26,,,,1(2),2,construction project,
027_gubelstrasse.zürich,gubelstrasse.zürich,urban planning,housing,Switzerland,Zurich,Gubelstrasse,,Zurich,8050,"47.40878696749217, 8.54381472133358",2009,27,,,,2,2,free project,
028_geeracker.dulliken,geeracker.dulliken,urban planning,housing,Switzerland,Dulliken,Alte Landstrasse,,Solothurn,4657,"47.35102697771174, 7.941363573988788",2010,28,,,,1(2),2,preliminary project,
029_riminibar.zürich,riminibar.zürich,installation,gastronomy,Switzerland,Zurich,Badweg,10,Zurich,8001,"47.371436067347005, 8.53273273212242",2010,29,,,,1,2,construction project,
030_brünnen.bern,brünnen.bern,urban planning,housing,Switzerland,Bern,,,Bern,3027,"46.947624770728325, 7.375338700936558",2010,30,,,,1(2),2,competition,
031_kronenwiese.zürich,kronenwiese.zürich,urban planning,housing,Switzerland,Zurich,Nordstrasse,,Zurich,8006,"47.38740028548639, 8.53619561637854",2010,31,,,,2,2,competition,
032_europaallee.zürich,europaallee.zürich,urban planning,mixed use,Switzerland,Zurich,Europaallee,Baufeld B,Zurich,8004,"47.378617579924054, 8.534797171543724",2011,32,,institutional,CHF 45'000'000,3,2,competition,
033_energycity.zürich,energycity.zürich,installation,city vision,Switzerland,Zurich,Dreikönigsstrasse,18,Zürich,8002,"47.34256440219231, 8.552167877605461",2011,33,,public,CHF 60'000,3,3,built,
034_ethz.darch.handwerkhefte,ethz.darch.handwerkhefte,activity,handbooks,Switzerland,Zurich,,,,,"47.40853188380191, 8.506320715250899",2011,34,,,,1(3),3,publication,
035_zwyssigstrasse.wettingen,zwyssigstrasse.wettingen,urban planning,bank,Switzerland,Wettingen,Alberich-Zwyssigstrasse,,Aargau,5430,"47.46670544146943, 8.327946714926643",2011,35,,institutional,CHF 15'000'000,3,2,competition,
036_nairobi.kenia,nairobi.kenia,urban planning,embassy,Kenya,Nairobi,,,,,"-1.2285680098399248, 36.800928919167056",2011,36,,,,2,2,competition,
037_stadthausareal.adliswil,stadthausareal.adliswil,urban planning,mixed use,Switzerland,Adliswil,Zürichstrasse,,Zurich,8134,"47.312896604847595, 8.527061553481195",2011,37,,institutional,CHF 50'000'000,3,2,competition,
038_rapidplatz.dietikon,rapidplatz.dietikon,installation,gastronomy,Switzerland,Dietikon,Rapidplatz,,Zurich,8953,"47.409836579104116, 8.404421226563185",2012,38,,private,CHF 350'000,3,3,built,
039_desgrandesroches.lausanne,desgrandesroches.lausanne,transformation,planetarium,Switzerland,Lausanne,Route de Berne,,Vaud,1000,"46.56461721305716, 6.692571239803328",2012,39,,,,1(3),2,competition,
040_viaindustria.caslano,viaindustria.caslano,urban planning,gymnasium,Switzerland,Caslano,Via Industria,,Ticino,6987,"45.97143401195718, 8.873892458611419",2012,40,,public,CHF 20'000'000,3,2,competition,
041_summerschool.unica,summerschool.unica,activity,territorial planning,Italy,Cagliari,Via Università,,Sardinia,09121,"39.21780658230768, 9.115002909099765",2012,41,,,,1(2),2,workshop,
042_fraugeroldsgarten.zürich,fraugeroldsgarten.zürich,installation,mixed use,Switzerland,Zurich,Geroldstrasse,23,Zurich,8005,"47.385360857504814, 8.519134017074144",2012,42,,private,CHF 2'500'000,3,3,built,
043_ethz.darch.abenteuerreisen.sardinien,ethz.darch.abenteuerreisen.sardinien,activity,travel,Italy,,,,,,"40.833380149619465, 8.402229632574308",2012,43,,,,1(3),3,event,
044_ethz.darch.abenteuerreisen.sizilien,ethz.darch.abenteuerreisen.sizilien,activity,travel,Italy,,,,,,"38.10402192076578, 15.647272295535492",2013,44,,,,1(3),3,event,
045_buchentwurf.9x9,buchentwurf.9x9,activity,drafts,,,,,,,"47.40853188380191, 8.506320715250899",2015,45,,,,1(3),2,publication,
046_domus.milano.0995.michelelanza,domus.milano.0995.michelelanza,activity,text,Italy,Milan,,,,,"45.384130273695845, 9.17096371694847",2015,46,,,,1(3),3,publication,
047_ochsenboden.nuolen,ochsenboden.nuolen,single building,housing,Switzerland,Nuolen,Ochsenboden,,Schwyz,8855,"47.199705993490475, 8.888225365831804",2015,47,,,,1(3),2,preliminary project,
048_stationsstrasse.wetzikon,stationsstrasse.wetzikon,single building,housing,Switzerland,Wetzikon,Stationsstrasse,36,Zurich,8620,"47.33244725820485, 8.80591226861432",2015,48,,private,CHF 3'500'000,3,3,built,
049_seebacherstrasse.zürich,seebacherstrasse.zürich,transformation,housing,Switzerland,Zurich,Seebacherstrasse,36,Zurich,8052,"47.42217774071354, 8.545349267569755",2015,49,,,,1(2),2,construction project,
050_remsistrasse.weggis,remsistrasse.weggis,urban planning,layout plan,Switzerland,Weggis,Remsistrasse,,Lucerne,6353,"47.03784670677852, 8.424445213155963",2016,50,,private,CHF 4'000'000,3,2,construction project,
051_grüzefeld.winterthur,grüzefeld.winterthur,urban planning,facade variants,Switzerland,Winterthur,Grüzefeldstrasse,,Zurich,8400,"47.49541545255711, 8.750380630675181",2016,51,,,,1(2),2,preliminary project,
052_meientalstrasse.zürich,meientalstrasse.zürich,transformation,housing,Switzerland,Zurich,Meientalstrasse,79,Zurich,8048,"47.38625324856347, 8.476446708457777",2016,52,,private,CHF 2'000'000,3,3,built,
053_maseltrangen.schänis,maseltrangen.schänis,single building,housing,Switzerland,Schänis,,,St. Gallen,8718,"47.19065607887878, 9.052652583045738",2016,53,,,,1,2,competition,
054_marktgasse.biel,marktgasse.biel,transformation,housing,Switzerland,Biel,Marktgasse,5-9,Bern,2502,"46.94791761233703, 7.447074896842781",2016,54,,,,1,2,preliminary project,
055_abiic.nigeria,abiic.nigeria,installation,city vision,Nigeria,,,,,,"7.315252623107027, 8.276923862858645",2016,55,,,,1(2),2,free project,
056_kettberg.zürich,kettberg.zürich,single building,housing,Switzerland,Zurich,Kettberg,31,Zurich,8049,"47.39862703399859, 8.514050246056199",2017,56,,private,CHF 4'500'000,3,2,competition,
057_oberseeweg.rapperswil,oberseeweg.rapperswil,urban planning,housing,Switzerland,Rapperswil-Jona,Oberseeweg,,St. Gallen,8633,"47.22227236187302, 8.8296888079168",2017,57,,,,1(2),2,competition,
058_domus.milano.1019.werneroechslin,domus.milano.1019.werneroechslin,activity,text,Italy,Milan,,,Lombardy,20019,"47.125179028073404, 8.748096293622204",2017,58,,,,1(3),3,publication,
059_eichliackerstrasse.winterthur,eichliackerstrasse.winterthur,single building,housing,Switzerland,Winterthur,Eichliackerstrasse,63+65,Zurich,8406,"47.487791435722166, 8.712940858777303",2017,59,,,,1,2,preliminary project,
060_binzackerstrasse.wetzikon,binzackerstrasse.wetzikon,urban planning,housing,Switzerland,Wetzikon,Binzackerstrasse,,Zurich,8620,"47.330270697906975, 8.80236707767215",2017,60,,,,1(2),2,preliminary project,
061_dimension.mittelmeer,dimension.mittelmeer,installation,territorial vision,,,,,,,"35.35148045548858, 17.649424281566535",2017,61,,,,3,3,free project,
