project_number;phase;year;en_desc;de_desc;it_desc;number_of_images;youtube_video_link;projectboard
19;2;2004;No;No;No;0;;No
20;2;2005;No;No;No;0;;No
21;2;2007;No;No;No;0;;No
22;2;2007;No;No;No;0;;No
23;2;2007;No;No;No;0;;No
24;2;2007;No;No;No;0;;No
25;2;2008;No;No;No;0;;No
26;2;2008;No;No;No;0;;No
27;2;2009;No;No;No;0;;No
28;2;2010;No;No;No;0;;No
29;2;2010;No;No;No;0;;No
30;2;2010;No;No;No;0;;No
31;2;2010;No;No;No;0;;No
32;2;2011;No;No;No;0;;No
33;3;2011;No;No;No;0;;No
34;3;2011;No;No;No;0;;No
35;2;2011;No;No;No;0;;No
36;2;2011;No;No;No;0;;No
37;2;2011;No;No;No;0;;No
38;3;2012;No;No;No;0;;No
39;2;2012;No;No;No;0;;No
40;2;2012;No;No;No;0;;No
41;2;2012;No;No;No;0;;No
42;3;2012;No;No;No;0;;No
43;3;2012;No;No;No;0;;No
44;3;2013;No;No;No;0;;No
45;2;2015;No;No;No;0;;No
46;3;2015;No;No;No;0;;No
47;2;2015;No;No;No;0;;No
48;3;2015;No;No;No;0;;No
49;2;2015;No;No;No;0;;No
50;2;2016;No;No;No;0;;No
51;2;2016;No;No;No;0;;No
52;3;2016;No;No;No;0;;No
53;2;2016;No;No;No;0;;No
54;2;2016;No;No;No;0;;No
55;2;2016;No;No;No;0;;No
56;2;2017;No;No;No;0;;No
57;2;2017;No;No;No;0;;No
58;3;2017;No;No;No;0;;No
59;2;2017;No;No;No;0;;No
60;2;2017;No;No;No;0;;No
61;3;2017;No;No;No;0;;No
62;2;2018;No;No;No;0;;No
63;2;2018;No;No;No;0;;No
64;2;2018;No;No;No;0;;No
65;2;2018;No;No;No;0;;No
66;2;2018;No;No;No;0;;No
67;3;2018;No;No;No;0;;No
68;3;2019;No;No;No;0;;No
69;2;2019;No;No;No;0;;No
70;1;2018;No;No;No;0;;No
70;2;2019;Yes;No;No;3;https://www.youtube.com/embed/cqxv-CsiE8g;Yes
71;3;2019;No;No;No;0;;No
72;3;2019;No;No;No;0;;No
73;2;2019;No;No;No;0;;No
74;2;2019;No;No;No;0;;No
75;3;2019;No;No;No;0;;No
76;2;2020;No;No;No;0;;No
77;2;2020;No;No;No;0;;No
78;2;2020;No;No;No;0;;No
79;3;2020;No;No;No;0;;No
80;3;2020;No;No;No;0;;No
81;2;2020;No;No;No;0;;No
82;2;2020;No;No;No;0;;No
83;2;2021;No;No;No;0;;No
84;2;2021;No;No;No;0;;No
85;2;2021;No;No;No;0;;No
86;2;2021;No;No;No;0;;No
87;2;2022;No;No;No;0;;No
88;2;2022;No;No;No;0;;No
89;2;2023;No;No;No;0;;No
90;2;2023;No;No;No;0;;No
91;3;2023;No;No;No;0;;No
92;2;2023;No;No;No;0;;No
