project_name,project_id,year,title,category,phases,program,country,city,street,number,number_range,canton/region,zip-code,gps_latitude,gps_longitude,cad_num,client,building_costs,currency,depth,subphase
019.004_piazzafontana.milano,19,2004,piazzafontana.milano,urban planning,"2, 1, 3",museum,Italy,Milan,Piazza Fontana,,,Lombardy,20122,45.4634910894171,9.19423885839494,,,,,1(3),diploma
020.005_ostiense.roma,20,2005,ostiense.roma,activity,"2, 1",azione in difesa dell'uomo,Italy,Rome,Via Ostiense,,,Lazio,154,41.8755429147837,12.48074646474810,,,,,1(2),workshop
021.007_hönggerbergring.zürich,21,2007,hönggerbergring.zürich,urban planning,2,institute,Switzerland,Zurich,Hönggerbergring,,,Zurich,8049,47.4076557383783,8.50912669249645,,,,,1(2),competition
022.007_epd.modul,22,2007,epd.modul,installation,2,pavilion,,,,,,,,45.4721443873063,9.17723820306027,,,,,2,free project
023.007_viaperincarino.novamilanese,23,2007,viaperincarino.novamilanese,urban planning,"2, 1",swimming hall,Italy,Nova Milanese,Via Perincarino,,,Lombardy,20834,45.5824348036689,9.19763647748103,,,,,1(2),competition
024.007_elsässerstrasse.basel,24,2007,elsässerstrasse.basel,urban planning,2,pavilion,Switzerland,Basel,Elsässerstrasse,,,Basel-Stadt,4056,47.5679754081861,7.58130274497909,,,,,1(3),competition
025.008_dacasavallumnezia.vella,25,2008,dacasavallumnezia.vella,urban planning,2,retirement home,Switzerland,Vella,,,,Grisons,7144,46.7165226496214,9.17222267170479,,,,,1(3),competition
026.008_münsterhof.zürich,26,2008,münsterhof.zürich,transformation,2,housing,Switzerland,Zurich,Münsterhof,,,Zurich,8001,47.3701758188441,8.54052682580408,,,,,1(2),construction project
027.009_gubelstrasse.zürich,27,2009,gubelstrasse.zürich,urban planning,2,housing,Switzerland,Zurich,Gubelstrasse,,,Zurich,8050,47.4087869674922,8.54381472133358,,,,,2,free project
028.010_geeracker.dulliken,28,2010,geeracker.dulliken,urban planning,2,housing,Switzerland,Dulliken,Alte Landstrasse,,,Solothurn,4657,47.3510269777117,7.94136357398879,,,,,1(2),preliminary project
029.010_riminibar.zürich,29,2010,riminibar.zürich,installation,2,gastronomy,Switzerland,Zurich,Badweg,10,,Zurich,8001,47.3714360673470,8.53273273212242,,,,,1,construction project
030.010_brünnen.bern,30,2010,brünnen.bern,urban planning,2,housing,Switzerland,Bern,,,,Bern,3027,46.9476247707283,7.37533870093656,,,,,1(2),competition
031.010_kronenwiese.zürich,31,2010,kronenwiese.zürich,urban planning,2,housing,Switzerland,Zurich,Nordstrasse,,,Zurich,8006,47.3874002854864,8.53619561637854,,,,,2,competition
032.011_europaallee.zürich,32,2011,europaallee.zürich,urban planning,2,mixed use,Switzerland,Zurich,Europaallee Baufeld B,,,Zurich,8004,47.3786175799241,8.53479717154372,,institutional,"45,000,000",CHF,3,competition
033.011_energycity.zürich,33,2011,energycity.zürich,installation,3,city vision,Switzerland,Zurich,Dreikönigsstrasse,18,,Zurich,8002,47.3425644021923,8.55216787760546,,public,"60,000",CHF,3,built
034.011_ethz.darch.handwerkhefte,34,2011,ethz.darch.handwerkhefte,activity,3,handbooks,Switzerland,Zurich,,,,,,47.4085318838019,8.50632071525090,,,,,1(3),publication
035.011_zwyssigstrasse.wettingen,35,2011,zwyssigstrasse.wettingen,urban planning,2,bank,Switzerland,Wettingen,Alberich-Zwyssigstrasse,,,Aargau,5430,47.4667054414694,8.32794671492664,,institutional,"15,000,000",CHF,3,competition
036.011_nairobi.kenia,36,2011,nairobi.kenia,urban planning,2,embassy,Kenya,Nairobi,,,,,,-1.2285680098399,36.80092891916710,,,,,2,competition
037.011_stadthausareal.adliswil,37,2011,stadthausareal.adliswil,urban planning,2,mixed use,Switzerland,Adliswil,Zürichstrasse,,,Zurich,8134,47.3128966048476,8.52706155348120,,institutional,"50,000,000",CHF,3,competition
038.012_rapidplatz.dietikon,38,2012,rapidplatz.dietikon,installation,3,gastronomy,Switzerland,Dietikon,Rapidplatz,,,Zurich,8953,47.4098365791041,8.40442122656319,,private,"350,000",CHF,3,built
039.012_desgrandesroches.lausanne,39,2012,desgrandesroches.lausanne,transformation,2,planetarium,Switzerland,Lausanne,Route de Berne,,,Vaud,1000,46.5646172130572,6.69257123980333,,,,,1(3),competition
040.012_viaindustria.caslano,40,2012,viaindustria.caslano,urban planning,2,gymnasium,Switzerland,Caslano,Via Industria,,,Ticino,6987,45.9714340119572,8.87389245861142,,public,"20,000,000",CHF,3,competition
041.012_summerschool.unica,41,2012,summerschool.unica,activity,2,territorial planning,Italy,Cagliari,Via Università,,,Sardinia,9121,39.2178065823077,9.11500290909977,,,,,1(2),workshop
042.012_fraugeroldsgarten.zürich,42,2012,fraugeroldsgarten.zürich,installation,3,mixed use,Switzerland,Zurich,Geroldstrasse,23,,Zurich,8005,47.3853608575048,8.51913401707414,,private,"2,500,000",CHF,3,built
043.012_ethz.darch.abenteuerreisen.sardinien,43,2012,ethz.darch.abenteuerreisen.sardinien,activity,3,travel,Italy,,,,,,,40.8333801496195,8.40222963257431,,,,,1(3),event
044.013_ethz.darch.abenteuerreisen.sizilien,44,2013,ethz.darch.abenteuerreisen.sizilien,activity,3,travel,Italy,,,,,,,38.1040219207658,15.64727229553550,,,,,1(3),event
